Sr. No,Subject,Body,Timestamp,Communication Channel,sentiment
1,Great Job!,We’re on the right track—let’s keep pushing forward!,2025-01-30 18:40:12,Slack,positive
2,Project Update,Can you forward me the CEO’s email please?,2025-01-26 07:44:12,Slack,neutral
3,Urgent: Need Assistance,I’m hitting a few roadblocks here. Any suggestions?,2025-02-07 12:23:12,Email,negative
4,Appreciation for Your Efforts,Thanks for your hard work on this project!,2025-01-17 20:13:12,Email,negative
5,Quick Sync Needed,The meeting has been rescheduled to 3 PM. Please update your calendars.,2025-01-11 06:23:12,Slack,neutral
6,Concerns About Progress,I’m struggling with a lack of clarity around the expectations for my role,2025-01-15 14:42:12,Microsoft Teams,neutral
7,Well Done!,Thanks for your hard work on this project!,2025-01-18 13:49:12,Email,negative
8,General Inquiry,Here’s the link to the shared drive for the project files.,2025-02-01 02:47:12,Slack,neutral
9,Struggling with Deadlines,"I suppose we can proceed, but I have some concerns.",2025-01-11 05:06:12,Email,neutral
10,Fantastic Progress,Great work. Let’s schedule a meeting to discuss the next steps.,2025-02-07 02:39:12,Microsoft Teams,positive
11,Meeting Rescheduled,This isn’t quite what I had in mind. Can we make a few adjustments?,2025-01-10 00:50:12,Email,negative
12,Feeling Overwhelmed,I’m worried I won’t meet my deadlines,2025-01-31 18:41:12,Microsoft Teams,neutral
13,Teamwork Pays Off,Great work. Let’s schedule a meeting to discuss the next steps.,2025-01-19 05:49:12,Microsoft Teams,positive
14,Follow-Up Required,Can you forward me the CEO’s email please?,2025-02-05 19:08:12,Microsoft Teams,neutral
15,Need Clarity on Expectations,I’m struggling with a lack of clarity around the expectations for my role,2025-01-26 04:17:12,Microsoft Teams,neutral
16,Outstanding Work!,Well done! Great teamwork,2025-01-14 08:28:12,Email,positive
17,Next Steps Discussion,Can you forward me the CEO’s email please?,2025-02-06 10:57:12,Email,neutral
18,Blocked on a Task,This feels like it’s dragging on. Can we speed things up?,2025-01-23 16:28:12,Microsoft Teams,neutral
19,Keep Up the Good Work!,Thanks for your hard work on this project!,2025-02-04 15:01:12,Microsoft Teams,negative
20,Clarification Needed,The meeting has been rescheduled to 3 PM. Please update your calendars.,2025-01-27 09:09:12,Slack,neutral
